id,zip,city,state_abbr,state_name,county,latitude,longitude,est_population
7997,37705,Andersonville,TN,Tennessee,Anderson County,36.2,-84.04,4680
7998,37710,Briceville,TN,Tennessee,Anderson County,36.16,-84.3,750
7999,37716,Clinton,TN,Tennessee,Anderson County,36.09,-84.13,22660
8000,37717,Clinton,TN,Tennessee,Anderson County,36.09,-84.13,835
8001,37754,Heiskell,TN,Tennessee,Anderson County,36.12,-84.04,4470
8002,37769,Rocky Top,TN,Tennessee,Anderson County,36.22,-84.15,4670
8003,37828,Norris,TN,Tennessee,Anderson County,36.21,-84.06,1589
8004,37830,Oak Ridge,TN,Tennessee,Anderson County,35.96,-84.29,29870
8005,37831,Oak Ridge,TN,Tennessee,Anderson County,35.96,-84.29,857
8006,37701,Alcoa,TN,Tennessee,Blount County,35.79,-83.97,8150
8007,37737,Friendsville,TN,Tennessee,Blount County,35.75,-84.13,5990
8008,37777,Louisville,TN,Tennessee,Blount County,35.82,-84.04,11090
8009,37801,Maryville,TN,Tennessee,Blount County,35.66,-84.09,26470
8010,37802,Maryville,TN,Tennessee,Blount County,35.74,-83.97,1744
8011,37803,Maryville,TN,Tennessee,Blount County,35.74,-83.97,31190
8012,37804,Maryville,TN,Tennessee,Blount County,35.79,-83.89,22980
8013,37853,Rockford,TN,Tennessee,Blount County,35.82,-83.93,3110
8014,37878,Tallassee,TN,Tennessee,Blount County,35.6,-83.98,420
8015,37882,Townsend,TN,Tennessee,Blount County,35.67,-83.75,2660
8016,37886,Walland,TN,Tennessee,Blount County,35.72,-83.81,4000
8017,37714,Caryville,TN,Tennessee,Campbell County,36.26,-84.3,3520
8018,37729,Duff,TN,Tennessee,Campbell County,36.52,-84.03,890
8019,37757,Jacksboro,TN,Tennessee,Campbell County,36.33,-84.19,8180
8020,37762,Jellico,TN,Tennessee,Campbell County,36.57,-84.12,2010
8021,37766,La Follette,TN,Tennessee,Campbell County,36.37,-84.12,13720
8022,37819,Newcomb,TN,Tennessee,Campbell County,36.54,-84.2,390
8023,37643,Elizabethton,TN,Tennessee,Carter County,36.33,-82.23,26330
8024,37644,Elizabethton,TN,Tennessee,Carter County,36.33,-82.23,1082
8025,37658,Hampton,TN,Tennessee,Carter County,36.28,-82.17,3180
8026,37682,Milligan College,TN,Tennessee,Carter County,36.3,-82.29,415
8027,37687,Roan Mountain,TN,Tennessee,Carter County,36.18,-82.07,3600
8028,37694,Watauga,TN,Tennessee,Carter County,36.36,-82.29,1480
8029,37707,Arthur,TN,Tennessee,Claiborne County,36.54,-83.67,327
8030,37715,Clairfield,TN,Tennessee,Claiborne County,36.54,-83.95,550
8031,37724,Cumberland Gap,TN,Tennessee,Claiborne County,36.55,-83.71,1740
